Date,breadth_pct,positive_stocks,available_stocks,coverage,total_stocks
2024-10-03,48.19532908704883,227,471,0.9401197604790419,501
2024-10-04,40.76433121019109,192,471,0.9401197604790419,501
2024-10-07,34.81953290870488,164,471,0.9401197604790419,501
2024-10-08,45.43524416135881,214,471,0.9401197604790419,501
2024-10-09,43.31210191082803,204,471,0.9401197604790419,501
2024-10-10,44.5859872611465,210,471,0.9401197604790419,501
2024-10-11,41.40127388535032,195,471,0.9401197604790419,501
2024-10-14,39.70276008492569,187,471,0.9401197604790419,501
2024-10-15,42.58474576271186,201,472,0.9421157684630739,501
2024-10-16,43.00847457627119,203,472,0.9421157684630739,501
2024-10-17,38.13559322033898,180,472,0.9421157684630739,501
2024-10-18,44.49152542372881,210,472,0.9421157684630739,501
2024-10-21,32.83898305084746,155,472,0.9421157684630739,501
2024-10-22,15.466101694915254,73,472,0.9421157684630739,501
2024-10-23,16.94915254237288,80,472,0.9421157684630739,501
2024-10-24,17.16101694915254,81,472,0.9421157684630739,501
2024-10-25,12.288135593220339,58,472,0.9421157684630739,501
2024-10-28,14.61864406779661,69,472,0.9421157684630739,501
2024-10-29,16.94915254237288,80,472,0.9421157684630739,501
2024-10-30,17.796610169491526,84,472,0.9421157684630739,501
2024-10-31,26.27118644067797,124,472,0.9421157684630739,501
2024-11-01,32.83898305084746,155,472,0.9421157684630739,501
2024-11-04,38.13559322033898,180,472,0.9421157684630739,501
2024-11-05,31.56779661016949,149,472,0.9421157684630739,501
2024-11-06,35.80508474576271,169,472,0.9421157684630739,501
2024-11-07,32.83898305084746,155,472,0.9421157684630739,501
2024-11-08,26.69491525423729,126,472,0.9421157684630739,501
2024-11-11,23.516949152542374,111,472,0.9421157684630739,501
2024-11-12,19.703389830508474,93,472,0.9421157684630739,501
2024-11-13,12.288135593220339,58,472,0.9421157684630739,501
2024-11-14,15.677966101694915,74,472,0.9421157684630739,501
2024-11-18,15.677966101694915,74,472,0.9421157684630739,501
2024-11-19,19.703389830508474,93,472,0.9421157684630739,501
