#,Symbol
301,BHARATWIRE
302,BHARTIARTL
303,BHARTIHEXA
304,BHEL
305,BIGBLOC
306,BIKAJI
307,BIL
308,BILVYAPAR
309,BIOCON
310,BIOFILCHEM
311,BIRLACABLE
312,BIRLACORPN
313,BIRLAMONEY
314,BIRLANU
315,BLACKBUCK
316,BLAL
317,BLBLIMITED
318,BLISSGVS
319,BLKASHYAP
320,BLS
321,BLSE
322,BLUECHIP
323,BLUECOAST
324,BLUEDART
325,BLUEJET
326,BLUESTARCO
327,BLUESTONE
328,BLUSPRING
329,BMWVENTLTD
330,BODALCHEM
331,BOHRAIND
332,BOMDYEING
333,BONLON
334,BORANA
335,BOROLTD
336,BORORENEW
337,BOROSCI
338,BOSCH-HCIL
339,BOSCHLTD
340,BPCL
341,BPL
342,BRIGADE
343,BRIGHOTEL
344,BRITANNIA
345,BRNL
346,BROOKS
347,BSE
348,BSHSL
349,BSL
350,BSOFT
351,BTML
352,BUILDPRO
353,BUTTERFLY
354,BVCL
355,BYKE
356,CALSOFT
357,CAMLINFINE
358,CAMPUS
359,CAMS
360,CANBK
361,CANFINHOME
362,CANHLIFE
363,CANTABIL
364,CAPACITE
365,CAPILLARY
366,CAPITALSFB
367,CAPLIPOINT
368,CAPTRUST
369,CARBORUNIV
370,CARERATING
371,CARRARO
372,CARTRADE
373,CARYSIL
374,CASTROLIND
375,CCAVENUE
376,CCCL
377,CCHHL
378,CCL
379,CDSL
380,CEATLTD
381,CEIGALL
382,CEINSYS
383,CELEBRITY
384,CELLO
385,CEMPRO
386,CENTENKA
387,CENTEXT
388,CENTRALBK
389,CENTRUM
390,CENTUM
391,CENTURYPLY
392,CERA
393,CEREBRAINT
394,CESC
395,CEWATER
396,CGCL
397,CGPOWER
398,CHALET
399,CHAMBLFERT
400,CHEMBOND
401,CHEMBONDCH
402,CHEMCON
403,CHEMFAB
404,CHEMPLASTS
405,CHENNPETRO
406,CHEVIOT
407,CHOICEIN
408,CHOLAFIN
409,CHOLAHLDNG
410,CIEINDIA
411,CIFL
412,CIGNITITEC
413,CINELINE
414,CINEVISTA
415,CIPLA
416,CLEAN
417,CLEDUCATE
418,CLSEL
419,CMSINFO
420,CNL
421,COALINDIA
422,COASTCORP
423,COCHINSHIP
